#1 Monopile made by automatic script on 20-Jun-2023
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$1 19 Flexible
0.001	1.4430E+04	0.0000E+00	0.0000E+00	3.5160E+00	3.5160E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.1374E+01	2.1374E+01	4.2748E+01	5.0830E-01	5.0830E-01	1.7290E+00	0.0000E+00	0.0000E+00	0.0000E+00
5.000	1.4430E+04	0.0000E+00	0.0000E+00	3.5160E+00	3.5160E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.1374E+01	2.1374E+01	4.2748E+01	5.0830E-01	5.0830E-01	1.7290E+00	0.0000E+00	0.0000E+00	0.0000E+00
5.001	1.3939E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.0655E+01	2.0655E+01	4.1310E+01	5.0802E-01	5.0802E-01	1.6702E+00	0.0000E+00	0.0000E+00	0.0000E+00
10.000	1.3939E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	2.0655E+01	2.0655E+01	4.1310E+01	5.0802E-01	5.0802E-01	1.6702E+00	0.0000E+00	0.0000E+00	0.0000E+00
10.001	1.3436E+04	0.0000E+00	0.0000E+00	3.5174E+00	3.5174E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.9917E+01	1.9917E+01	3.9834E+01	5.0773E-01	5.0773E-01	1.6099E+00	0.0000E+00	0.0000E+00	0.0000E+00
15.000	1.3436E+04	0.0000E+00	0.0000E+00	3.5174E+00	3.5174E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.9917E+01	1.9917E+01	3.9834E+01	5.0773E-01	5.0773E-01	1.6099E+00	0.0000E+00	0.0000E+00	0.0000E+00
15.001	1.2922E+04	0.0000E+00	0.0000E+00	3.5181E+00	3.5181E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.9162E+01	1.9162E+01	3.8324E+01	5.0743E-01	5.0743E-01	1.5482E+00	0.0000E+00	0.0000E+00	0.0000E+00
20.000	1.2922E+04	0.0000E+00	0.0000E+00	3.5181E+00	3.5181E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.9162E+01	1.9162E+01	3.8324E+01	5.0743E-01	5.0743E-01	1.5482E+00	0.0000E+00	0.0000E+00	0.0000E+00
20.001	1.2400E+04	0.0000E+00	0.0000E+00	3.5188E+00	3.5188E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.8396E+01	1.8396E+01	3.6791E+01	5.0713E-01	5.0713E-01	1.4857E+00	0.0000E+00	0.0000E+00	0.0000E+00
25.000	1.2400E+04	0.0000E+00	0.0000E+00	3.5188E+00	3.5188E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.8396E+01	1.8396E+01	3.6791E+01	5.0713E-01	5.0713E-01	1.4857E+00	0.0000E+00	0.0000E+00	0.0000E+00
25.001	1.1880E+04	0.0000E+00	0.0000E+00	3.5195E+00	3.5195E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.7632E+01	1.7632E+01	3.5264E+01	5.0683E-01	5.0683E-01	1.4234E+00	0.0000E+00	0.0000E+00	0.0000E+00
30.000	1.1880E+04	0.0000E+00	0.0000E+00	3.5195E+00	3.5195E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.7632E+01	1.7632E+01	3.5264E+01	5.0683E-01	5.0683E-01	1.4234E+00	0.0000E+00	0.0000E+00	0.0000E+00
30.001	1.1363E+04	0.0000E+00	0.0000E+00	3.5202E+00	3.5202E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.6871E+01	1.6871E+01	3.3742E+01	5.0653E-01	5.0653E-01	1.3615E+00	0.0000E+00	0.0000E+00	0.0000E+00
35.000	1.1363E+04	0.0000E+00	0.0000E+00	3.5202E+00	3.5202E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.6871E+01	1.6871E+01	3.3742E+01	5.0653E-01	5.0653E-01	1.3615E+00	0.0000E+00	0.0000E+00	0.0000E+00
35.001	1.1029E+04	0.0000E+00	0.0000E+00	3.5206E+00	3.5206E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.6379E+01	1.6379E+01	3.2759E+01	5.0634E-01	5.0634E-01	1.3215E+00	0.0000E+00	0.0000E+00	0.0000E+00
40.000	1.1029E+04	0.0000E+00	0.0000E+00	3.5206E+00	3.5206E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.6379E+01	1.6379E+01	3.2759E+01	5.0634E-01	5.0634E-01	1.3215E+00	0.0000E+00	0.0000E+00	0.0000E+00
40.001	1.0721E+04	0.0000E+00	0.0000E+00	3.5210E+00	3.5210E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.5926E+01	1.5926E+01	3.1852E+01	5.0616E-01	5.0616E-01	1.2846E+00	0.0000E+00	0.0000E+00	0.0000E+00
45.000	1.0721E+04	0.0000E+00	0.0000E+00	3.5210E+00	3.5210E+00	0.0000E+00	0.0000E+00	2.0000E+11	7.9300E+17	1.5926E+01	1.5926E+01	3.1852E+01	5.0616E-01	5.0616E-01	1.2846E+00	0.0000E+00	0.0000E+00	0.0000E+00
r	m	x_cg	y_cg	ri_x	ri_y	x_sh	y_sh	E	G	I_x	I_y	I_p	k_x	k_y	A	pitch	x_e	y_e
$3 19 Rigid
0.000	1.4430E+04	0.0000E+00	0.0000E+00	3.5160E+00	3.5160E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.1374E+01	2.1374E+01	4.2748E+01	5.0830E-01	5.0830E-01	1.7290E+00	0.0000E+00	0.0000E+00	0.0000E+00
0.001	1.4430E+04	0.0000E+00	0.0000E+00	3.5160E+00	3.5160E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.1374E+01	2.1374E+01	4.2748E+01	5.0830E-01	5.0830E-01	1.7290E+00	0.0000E+00	0.0000E+00	0.0000E+00
5.000	1.4430E+04	0.0000E+00	0.0000E+00	3.5160E+00	3.5160E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.1374E+01	2.1374E+01	4.2748E+01	5.0830E-01	5.0830E-01	1.7290E+00	0.0000E+00	0.0000E+00	0.0000E+00
5.001	1.3939E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.0655E+01	2.0655E+01	4.1310E+01	5.0802E-01	5.0802E-01	1.6702E+00	0.0000E+00	0.0000E+00	0.0000E+00
10.000	1.3939E+04	0.0000E+00	0.0000E+00	3.5167E+00	3.5167E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	2.0655E+01	2.0655E+01	4.1310E+01	5.0802E-01	5.0802E-01	1.6702E+00	0.0000E+00	0.0000E+00	0.0000E+00
10.001	1.3436E+04	0.0000E+00	0.0000E+00	3.5174E+00	3.5174E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.9917E+01	1.9917E+01	3.9834E+01	5.0773E-01	5.0773E-01	1.6099E+00	0.0000E+00	0.0000E+00	0.0000E+00
15.000	1.3436E+04	0.0000E+00	0.0000E+00	3.5174E+00	3.5174E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.9917E+01	1.9917E+01	3.9834E+01	5.0773E-01	5.0773E-01	1.6099E+00	0.0000E+00	0.0000E+00	0.0000E+00
15.001	1.2922E+04	0.0000E+00	0.0000E+00	3.5181E+00	3.5181E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.9162E+01	1.9162E+01	3.8324E+01	5.0743E-01	5.0743E-01	1.5482E+00	0.0000E+00	0.0000E+00	0.0000E+00
20.000	1.2922E+04	0.0000E+00	0.0000E+00	3.5181E+00	3.5181E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.9162E+01	1.9162E+01	3.8324E+01	5.0743E-01	5.0743E-01	1.5482E+00	0.0000E+00	0.0000E+00	0.0000E+00
20.001	1.2400E+04	0.0000E+00	0.0000E+00	3.5188E+00	3.5188E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.8396E+01	1.8396E+01	3.6791E+01	5.0713E-01	5.0713E-01	1.4857E+00	0.0000E+00	0.0000E+00	0.0000E+00
25.000	1.2400E+04	0.0000E+00	0.0000E+00	3.5188E+00	3.5188E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.8396E+01	1.8396E+01	3.6791E+01	5.0713E-01	5.0713E-01	1.4857E+00	0.0000E+00	0.0000E+00	0.0000E+00
25.001	1.1880E+04	0.0000E+00	0.0000E+00	3.5195E+00	3.5195E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.7632E+01	1.7632E+01	3.5264E+01	5.0683E-01	5.0683E-01	1.4234E+00	0.0000E+00	0.0000E+00	0.0000E+00
30.000	1.1880E+04	0.0000E+00	0.0000E+00	3.5195E+00	3.5195E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.7632E+01	1.7632E+01	3.5264E+01	5.0683E-01	5.0683E-01	1.4234E+00	0.0000E+00	0.0000E+00	0.0000E+00
30.001	1.1363E+04	0.0000E+00	0.0000E+00	3.5202E+00	3.5202E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.6871E+01	1.6871E+01	3.3742E+01	5.0653E-01	5.0653E-01	1.3615E+00	0.0000E+00	0.0000E+00	0.0000E+00
35.000	1.1363E+04	0.0000E+00	0.0000E+00	3.5202E+00	3.5202E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.6871E+01	1.6871E+01	3.3742E+01	5.0653E-01	5.0653E-01	1.3615E+00	0.0000E+00	0.0000E+00	0.0000E+00
35.001	1.1029E+04	0.0000E+00	0.0000E+00	3.5206E+00	3.5206E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.6379E+01	1.6379E+01	3.2759E+01	5.0634E-01	5.0634E-01	1.3215E+00	0.0000E+00	0.0000E+00	0.0000E+00
40.000	1.1029E+04	0.0000E+00	0.0000E+00	3.5206E+00	3.5206E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.6379E+01	1.6379E+01	3.2759E+01	5.0634E-01	5.0634E-01	1.3215E+00	0.0000E+00	0.0000E+00	0.0000E+00
40.001	1.0721E+04	0.0000E+00	0.0000E+00	3.5210E+00	3.5210E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.5926E+01	1.5926E+01	3.1852E+01	5.0616E-01	5.0616E-01	1.2846E+00	0.0000E+00	0.0000E+00	0.0000E+00
45.000	1.0721E+04	0.0000E+00	0.0000E+00	3.5210E+00	3.5210E+00	0.0000E+00	0.0000E+00	2.0000E+18	7.9300E+17	1.5926E+01	1.5926E+01	3.1852E+01	5.0616E-01	5.0616E-01	1.2846E+00	0.0000E+00	0.0000E+00	0.0000E+00
